"","FID","Lat","Lon","MS_sst05_5m","MS_sst06_5m","MS_sst07_5m","MS_sss05_5m","MS_sss06_5m","MS_sss07_5m","BO_ph"
"53","MAB",46.04336167,-61.31341333,4.23999977111816,10.1599998474121,17.5599994659424,30.4799995422363,30.1100006103516,29.6700000762939,7.94700002670288
"54","MAD",49.23,-65.32,2.98000001907349,8.10000038146973,13.1800003051758,28.8999996185303,27.6900005340576,27.5,7.76700019836426
"55","MAT",48.17573333,-67.1415,2.41000008583069,7.82999992370605,11.8699998855591,28.3799991607666,27.0300006866455,27.0100002288818,7.79500007629395
"56","MNB",54.237778,-57.872222,0.360000014305115,2.26999998092651,6.8899998664856,32.0200004577637,31.3999996185303,30.2700004577637,8.14700031280518
"57","MNE",46.46801667,-60.91908333,3.32999992370605,10.3500003814697,17.9899997711182,30.5200004577637,30.1399993896484,29.7000007629395,7.94099998474121
"58","MOR",46.301163,-62.712251,3.29999995231628,10.2799997329712,16.4200000762939,30.2099990844727,29.6200008392334,29.2600002288818,7.86399984359741
"59","MRS",46.242325,-61.12225,3.51999998092651,9.52999973297119,17.3999996185303,30.4799995422363,30.1000003814697,29.6599998474121,7.94600009918213
"60","MSW",46.55,-66.04,5.07999992370605,14.3299999237061,17.7299995422363,28.5100002288818,27.2800006866455,27.2600002288818,7.82600021362305
"61","MUN",47.17,-65.937,4.94999980926514,6.98999977111816,15.9899997711182,28.3600006103516,27.0599994659424,27.0400009155273,7.81199979782104
"62","MU",53.868056,-60.085833,0.550000011920929,1.22000002861023,7.5,32.0999984741211,31.0900001525879,29.5499992370605,8.21199989318848
"63","Mul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","NAT",50.11666667,-61.8,1.4099999666214,8.52000045776367,12.8000001907349,31.2399997711182,30.75,30.2299995422363,7.81799983978271
"65","NBT",46.7361,-53.36,2.15000009536743,4.71999979019165,11.4799995422363,31.8999996185303,31.7800006866455,31.6399993896484,8.17399978637695
"66","NEP",46.44926733,-62.214393,3.91000008583069,10.9700002670288,17.9799995422363,30.2600002288818,29.6599998474121,29.2700004577637,7.86800003051758
"67","NET",46.3833625,-62.5707535,4.38000011444092,10.5799999237061,17.8899993896484,30.1399993896484,29.4899997711182,29.1200008392334,7.86299991607666
"68","NGR",44.523,-67.857,5.09999990463257,9.35000038146973,13.1199998855591,31.4699993133545,31.2600002288818,31.25,8.03400039672852
"69","NHR",47.91976,-54.02882,2.55999994277954,5.65000009536743,13.1300001144409,32.189998626709,31.9699993133545,31.6399993896484,8.15499973297119
"70","NMB",47.17238,-55.31522,2.97000002861023,6.05000019073486,13.539999961853,32.0900001525879,31.9899997711182,31.8199996948242,8.11299991607666
"71","NON",47.45105,-54.64381,2.66000008583069,6.15000009536743,13.1199998855591,32.2299995422363,32.0800018310547,31.8700008392334,8.13899993896484
"72","NPR",47.29101,-53.79636,2.15000009536743,7.73999977111816,11.539999961853,32.1100006103516,31.9300003051758,31.6599998474121,8.15999984741211
"73","NRH",45.38,-63.31,2.65000009536743,12.3800001144409,18.5499992370605,30.3400001525879,29.8199996948242,29.6100006103516,7.92199993133545
"74","NSH",45.96,-66.62,3.57999992370605,9.56999969482422,11,30.3099994659424,29.8500003814697,29.9500007629395,7.98799991607666
"75","NWP",46.63383625,-64.03832625,3.27999997138977,12.4899997711182,18.2800006866455,29.4099998474121,28.4400005340576,28.25,7.84299993515015
"76","PAT",47.86143,-67.3937,2.33999991416931,9.51000022888184,14.75,28.3899993896484,27.0400009155273,27.0200004577637,7.79500007629395
"77","PA",53.42408,-57.2495,0.879999995231628,2.36999988555908,8.82999992370605,30.8199996948242,30.1299991607666,29.4599990844727,8.14299964904785
"78","PBR",46.88462,-55.85669,2.48000001907349,5.01000022888184,11.3900003433228,31.9799995422363,31.8899993896484,31.7199993133545,8.10299968719482
"79","PHR",47.93259,-54.27274,1.21000003814697,1.72000002861023,16.6000003814697,32.2099990844727,31.9899997711182,31.6700000762939,8.15299987792969
"80","PIE",45.54336667,-62.87651667,3.67000007629395,9.9399995803833,17.0699996948242,30.3700008392334,29.8999996185303,29.5599994659424,7.86399984359741
"81","BLA",46.88712,-53.96672,2.86999988555908,5.82999992370605,12.1000003814697,32.1300010681152,32,31.8500003814697,8.16199970245361
"82","RHA",47.3251,-54.98659,2.71000003814697,6.03999996185303,11.6099996566772,32.2000007629395,32.0699996948242,31.8899993896484,8.125
"83","RHW",47.29903,-55.02101,2.03999996185303,6.05999994277954,11.1499996185303,32.189998626709,32.0699996948242,31.8799991607666,8.12199974060059
"84","RUS",47.3678,-54.91719,2.27999997138977,6.09000015258789,12.8999996185303,32.2099990844727,32.0800018310547,31.8799991607666,8.12399959564209
"85","SHA",47.71061,-54.35958,3.14000010490417,5.76999998092651,13.7700004577637,32.2099990844727,32.0200004577637,31.7399997711182,8.14999961853027
"86","SHI",47.3462,-53.86734,2.15000009536743,7.73999977111816,11.539999961853,32.1100006103516,31.9300003051758,31.6599998474121,8.15999984741211
"87","SPR",47.22583,-53.88125,2.79999995231628,6.98999977111816,11.8299999237061,32.1399993896484,31.9799995422363,31.75,8.15799999237061
"88","TBR",46.87916,-55.70944,2.51999998092651,5.30000019073486,11.1999998092651,32.0099983215332,31.9300003051758,31.7600002288818,8.10900020599365
"89","TDS",47.12729,-55.26429,1.25,3.69000005722046,14.1599998474121,32.1500015258789,32.0400009155273,31.8799991607666,8.11800003051758
"90","RIC",46.35848333,-65.14655,3.16000008583069,12.7399997711182,15.8599996566772,28.9699993133545,27.8799991607666,27.8099994659424,7.83500003814697
"91","RPH",45.5918,-63.81981667,6.44999980926514,11.8000001907349,17.2099990844727,30.25,29.6599998474121,29.5200004577637,7.85900020599365
"92","SCP",46.2796795,-63.4949635,6.13000011444092,12.3599996566772,17.7099990844727,29.8999996185303,29.1599998474121,28.9099998474121,7.90000009536743
"93","SHP",43.91,-69.671,6.65000009536743,11.2600002288818,15.8100004196167,31.6000003814697,31.3500003814697,31.1200008392334,8.04300022125244
"94","SHR",47.71061,-54.35958,3.14000010490417,5.76999998092651,13.7700004577637,32.2099990844727,32.0200004577637,31.7399997711182,8.14999961853027
"95","SH",53.56667,-56.35,0.689999997615814,2.53999996185303,9.65999984741211,30.9300003051758,30.2600002288818,29.7399997711182,8.14799976348877
