,Long,Lat,Model,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,LongitudePoints,LatitudePoints
100,-61.08014452,46.26392522,BioSimMap,5.550085219,9.022737922,25.48443948,913.4914789,23.80319223,-11.72505507,35.55580088,2.388617737,10.8854208,16.67786563,-5.606942846,1377.134076,207.0978025,52.29110187,39.39791084,480.4116583,227.6486087,304.215463,352.9480643,-61.12,46.24
101,-61.08014452,53.75939806,BioSimMap,-1.437804453,9.647961291,21.76912038,1189.074959,19.95917576,-24.41281607,44.38034979,9.76167129,-7.784533299,12.48627658,-16.65257424,896.5313468,136.0633954,28.32784781,43.10234837,317.9427259,140.5773716,286.6456515,184.1353572,-61.04,53.74
102,-61.24674835,45.59766097,BioSimMap,6.557974525,7.991788015,24.21668718,856.2741937,23.32715258,-9.69409446,33.04253662,4.729159509,9.80084537,17.13966953,-3.886366463,1375.372715,209.6678314,51.20917348,40.33794845,476.0260144,236.0423227,307.2563469,320.2804532,-61.23,45.6
103,-61.33005027,46.01407612,BioSimMap,5.880501829,9.305853588,25.97674035,916.8400551,24.27660547,-11.63754333,36.02448943,3.353732984,10.37152433,16.99219113,-5.334213356,1318.608797,199.0629354,50.63405944,38.70857034,455.9752815,225.0074068,300.554079,324.9010177,-61.31,46.04
104,-61.4966541,45.84751006,BioSimMap,6.442291457,8.916846834,25.44137471,897.9673655,24.27710147,-10.81825645,35.2480954,4.665237023,9.547344446,17.35966622,-4.532503428,1300.246045,200.0042881,48.58175133,40.00147708,452.1155269,223.6956996,299.2619387,305.463415,-61.49,45.86
105,-61.74655985,50.09494467,BioSimMap,1.65883581,8.963627164,23.17386534,1011.819827,19.64556731,-19.15718388,38.81036693,6.321337176,-3.363350133,13.55371029,-11.26306402,1020.406192,157.4842261,30.4863916,44.55319577,361.1885912,154.1079009,272.0781276,206.5076202,-61.8,50.12
106,-61.9964656,45.09796278,BioSimMap,6.443257611,9.383609179,26.89553796,871.3626545,23.95757689,-10.97641174,34.95883504,4.971918005,9.047793925,17.08891373,-4.292939352,1367.703369,216.6020389,46.28805119,43.4394816,484.9737244,221.3661879,297.7571393,322.4220964,-61.96,45.1
107,-62.24637135,46.43049128,BioSimMap,6.19110176,8.271066387,23.18723855,938.7665524,24.06810472,-11.6015134,35.68062019,4.424274468,8.749370164,17.57040433,-5.313628993,1181.39687,184.4131674,41.54634497,41.43039745,413.1048227,196.0440696,270.6771914,288.2151761,-62.21,46.45
108,-62.57957901,44.93139671,BioSimMap,6.327576416,9.962984643,28.17405938,865.3636296,23.98961142,-11.41060279,35.41043696,5.169508369,10.47849888,16.89165004,-4.357335969,1411.215329,219.2966621,49.16295796,42.6028521,497.8246988,229.6331372,307.7175371,349.6323562,-62.59,44.95
109,-62.57957901,46.34720825,BioSimMap,6.299802152,8.154742497,22.70929774,948.9548474,24.15918104,-11.71443437,35.87645052,4.771153754,8.619831495,17.78018312,-5.355928438,1133.274905,175.3092945,38.43400197,41.79918973,393.3323937,188.129458,261.2685078,275.1586754,-62.57,46.38
