FID	IID	Rivername	Region	Lat	Lon	Dataset
ARO	ARO12_Sasa_Mad_7_F12	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_8_G12	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Mad_9_H12	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_56_C03	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_57_D03	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_58_E03	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_59_F03	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_60_G03	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_61_H03	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_62_A04	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_64_B04	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_65_C04	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_66_D04	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_67_E04	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_68_F04	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_69_G04	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_70_H04	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_71_A05	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_72_B05	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_73_C05	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_74_D05	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_75_E05	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_77_F05	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
ARO	ARO12_Sasa_Red_80_G05	RivireAuxRochers	NorthAm	49.99688	-66.86287	May 2021 5700 Recluster
